,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
1513,,,878675,independent political entity,PCLI,
1514,-4.26613,15.28318,2260535,capital of a political entity,PPLC,Brazzaville
1515,,,878675,independent political entity,PCLI,Harare
1516,,,878675,independent political entity,PCLI,
1517,,,192950,independent political entity,PCLI,
1518,,,2275384,independent political entity,PCLI,
1519,,,2275384,independent political entity,PCLI,
1520,6.9262,-9.62545,7669284,second-order administrative division,ADM2,
1521,,,192950,independent political entity,PCLI,
1522,0.43902,33.20317,233114,seat of a first-order administrative division,PPLA,Jinja
1523,0.33957,32.62627,7732387,fourth-order administrative division,ADM4,Nakawa
1524,0.31628,32.58219,232422,capital of a political entity,PPLC,"Namboole, Bweyogerere"
1525,6.53104,-10.35368,2276086,seat of a first-order administrative division,PPLA,
1526,6.62195,-10.19761,2276087,second-order administrative division,ADM2,
1527,6.27622,-10.73326,8693108,populated place,PPL,
1528,,,226074,independent political entity,PCLI,
1529,0.06444,32.44694,233508,populated place,PPL,"Kampala, Entebbe etc"
1530,0.31628,32.58219,232422,capital of a political entity,PPLC,"Kampala, Entebbe etc"
1531,1.016,34.191,443353,second-order administrative division,ADM2,"Kampala, Entebbe etc"
1532,0.75,34.08333,443366,second-order administrative division,ADM2,"Kampala, Entebbe etc"
1533,,,878675,independent political entity,PCLI,"Harare, Zimbabwe"
1534,,,878675,independent political entity,PCLI,
1535,,,878675,independent political entity,PCLI,
1536,-17.82772,31.05337,890299,capital of a political entity,PPLC,"University of Zimbabwe; Harare, Zimbabwe"
1537,,,878675,independent political entity,PCLI,
1538,,,878675,independent political entity,PCLI,
1539,-17.82772,31.05337,890299,capital of a political entity,PPLC,"Zimbabwe National Sports Stadium, Harare, Zimbabwe"
1540,,,878675,independent political entity,PCLI,
1541,,,2275384,independent political entity,PCLI,
1542,-17.82772,31.05337,890299,capital of a political entity,PPLC,Women
1543,,,878675,independent political entity,PCLI,
1544,-4.375,15.97,2314300,first-order administrative division,ADM1,"Ngiri-Ngiri, Kinshasa"
1545,-4.3575,15.29833,8449787,populated place,PPL,"Ngiri-Ngiri, Kinshasa"
1546,,,878675,independent political entity,PCLI,
1547,-17.82772,31.05337,890299,capital of a political entity,PPLC,
1548,-17.74167,30.93889,885792,section of populated place,PPLX,
1549,-17.82772,31.05337,890299,capital of a political entity,PPLC,"Harare, Zimbabwe"
